Timestamp,ID,Power,Speed,Heart rate,Cadence,Temperature,Accumulated power,Steering,Grade,X,Y,Z
2024-08-05 13:09:36+00:00,0WETT,70.0,4.539609973030913,101.0,57.0,25.0,947.0,-0.14,-0.33971425649282094,96.85454254310685,248.92762946047236,200.356219291687
2024-08-05 13:09:37+00:00,0WETT,100.0,4.747670996408792,100.0,59.0,25.0,1047.0,-2.64,-0.3491973876953125,100.06228443836987,252.18987812611442,200.33366800944012
2024-08-05 13:09:38+00:00,0WETT,88.0,4.78607208877526,98.0,61.0,25.0,1135.0,-3.6122448979591835,-0.3552224900987413,103.59559414479106,255.5921299045372,200.30876249425552
2024-08-05 13:09:39+00:00,0WETT,65.0,4.759550052849198,97.0,63.0,25.0,1200.0,-1.0,-0.35607020060221356,107.33879036519,258.9365335075417,200.28303623199463
2024-08-05 13:09:40+00:00,0WETT,50.0,5.634104992698989,95.0,63.0,25.0,1250.0,-4.431372549019608,-0.354766845703125,111.28468935499855,262.29410578661526,200.25661659240723
2024-08-05 13:09:41+00:00,0WETT,42.0,5.083049795737027,94.0,65.0,25.0,1292.0,-2.7708333333333335,-0.35719341701931423,115.77754588813298,265.73557312270935,200.22760200500488
2024-08-05 13:09:42+00:00,0WETT,50.0,4.972761431787824,92.0,76.0,25.0,1342.0,-3.3,-0.36455102868982264,119.81172626868907,268.5828156911854,200.20205688476562
2024-08-05 13:09:43+00:00,0WETT,51.0,5.1426976031789104,91.0,66.0,25.0,1393.0,-4.591836734693878,-0.3739971004120291,123.91545405699739,271.233835151251,200.17611999511718
2024-08-05 13:09:44+00:00,0WETT,42.0,4.720462687787685,90.0,65.0,26.0,1435.0,-3.64,-0.38067626953125,128.16760182730224,273.64091048784013,200.14947700500488
2024-08-05 13:09:45+00:00,0WETT,45.0,5.062473691471994,90.0,65.0,26.0,1480.0,-0.5490196078431373,-0.3852643464740954,132.40980312352127,275.7948464289961,200.12315368652344
2024-08-05 13:09:46+00:00,0WETT,70.0,5.2527274631581005,89.0,57.0,26.0,1550.0,4.270833333333333,-0.3867793727565456,136.82917095307275,278.0342522553825,200.0959940592448
2024-08-05 13:09:47+00:00,0WETT,58.0,5.289060551783279,89.0,55.0,26.0,1608.0,3.9,-0.38691340266047297,141.23496421408018,280.58266562959454,200.06820882161458
2024-08-05 13:09:48+00:00,0WETT,56.0,5.200136602481495,89.0,56.0,26.0,1664.0,4.1020408163265305,-0.3827107747395833,145.56411724660623,283.4237970422898,200.03987216949463
2024-08-05 13:09:49+00:00,0WETT,62.0,5.422524137958742,89.0,56.0,26.0,1726.0,3.489795918367347,-0.37735919563137754,149.80227081194178,286.5344134178182,200.3117645263672
2024-08-05 13:09:50+00:00,0WETT,60.0,5.398343555497828,90.0,57.0,26.0,1786.0,2.196078431372549,0.050872802734375,153.82884711227427,289.82520452367163,200.00164693196615
2024-08-05 13:09:51+00:00,0WETT,61.0,5.360550492952555,91.0,58.0,26.0,1847.0,2.4693877551020407,0.1351238930062072,157.84594967044004,293.3282749451981,200.00873947143555
2024-08-05 13:09:52+00:00,0WETT,72.0,5.481256088405386,91.0,58.0,26.0,1919.0,3.2653061224489797,0.4079008755618579,161.99000263766328,297.22035082449065,200.03097444422104
2024-08-05 13:09:53+00:00,0WETT,88.0,5.5386119625973045,93.0,59.0,26.0,2007.0,2.25,0.6550875577059659,166.0669152019824,301.4198436979221,200.06820011138916
2024-08-05 13:09:54+00:00,0WETT,76.0,5.31174192918454,93.0,59.0,26.0,2083.0,2.06,0.8739013671875,169.661185412779,305.39862703111527,200.12452697753906
2024-08-05 13:09:55+00:00,0WETT,66.0,5.404960044296154,94.0,59.0,26.0,2149.0,5.938775510204081,1.7933247884114583,173.06564444742588,309.4553304529159,200.2266435623169
2024-08-05 13:09:56+00:00,0WETT,75.0,5.403265421808141,94.0,58.0,26.0,2224.0,15.1,0.25275548299153644,176.33422614575613,314.15056253234974,200.35674151252297
2024-08-05 13:09:57+00:00,0WETT,78.0,5.33881104920222,95.0,57.0,26.0,2302.0,25.20408163265306,-2.4427126531731593,178.45078896842867,319.35347336169644,200.2807102203369
2024-08-05 13:09:58+00:00,0WETT,79.0,5.436349680962914,96.0,56.0,26.0,2381.0,8.76,-2.5174560546875,178.82914793360862,324.6201332854609,200.08038024902345
2024-08-05 13:09:59+00:00,0WETT,85.0,5.551328765899039,98.0,58.0,26.0,2466.0,0.30612244897959184,-2.50448278478674,178.45867577251963,330.0790690743216,199.99328708648682
2024-08-05 13:10:00+00:00,0WETT,153.0,5.983683302013436,99.0,62.0,26.0,2619.0,0.88,-4.098886839101012,177.96889006113142,335.90923050503847,199.62769222259521
2024-08-05 13:10:01+00:00,0WETT,125.0,6.449917786201568,100.0,65.0,26.0,2744.0,4.041666666666667,-4.177337222629124,177.26129547101652,342.2323480457292,199.20177173614502
2024-08-05 13:10:02+00:00,0WETT,116.0,6.799906124687237,100.0,69.0,26.0,2860.0,-9.51063829787234,-0.5062909193441901,176.17774426471144,348.90722876562876,198.85703372955322
2024-08-05 13:10:03+00:00,0WETT,71.0,6.956068237213934,103.0,73.0,26.0,2931.0,-21.830188679245282,1.9496413896668632,176.32177259549206,355.6826868877908,198.97954813639322
2024-08-05 13:10:04+00:00,0WETT,88.0,7.005665330087615,104.0,76.0,26.0,3019.0,-7.061224489795919,2.9042695697985197,178.6800408982924,361.92014959636685,199.25224812825522
2024-08-05 13:10:05+00:00,0WETT,86.0,6.697488901513689,105.0,75.0,26.0,3105.0,-8.0,7.220479329427083,182.04266342550284,367.83778098413364,199.76147651672363
